  1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 2301 2334 2371 2427 2481 2470 2358 2412 3056 3664 4498 5583 6495 7022 7360 8035 8569 9007 9879 10264 11924 14783 16899 18827 19065 19468 20653 22619 22383 23087 24926 26416 27988 28893 29792 31066 32790 35379 38002 40094 43697 47568 50752 55072 60334 65516 71951 77752 85278 101991 113751 121159 130580 143037 160839 182669 203386 215649 219512 226176 233376 241183 251325 260769 273381 284389 293399 301219 313902 329414 348883 368867 386397 397097 414790 433094
 655 642 623 608 594 563 533 606 736 825 896 1109 1329 1402 1400 1509 1638 1653 1726 1814 1972 2350 2833 2869 2521 3442 3478 3976 3510 3850 4309 3977 4255 4374 4826 4990 5289 6007 6836 7311 8510 9634 10039 11188 12518 13486 14918 16159 17913 21232 22263 24112 26915 30779 35268 40658 45583 48812 51332 54681 57794 61265 66758 70025 73457 77377 80275 84588 90147 95666 100562 105985 112350 119790 127267 134200
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 119 219 276 335 406 479 575 629 734 953 1083 1203 1371 1666 2272 2565 3023 3690 4522 5735 7396 8992 9972 10628 11434 12137 12776 13482 14036 14722 15433 15769 16390 17063 17947 18923 19760 20465 20972 21474 22128
 0 0 0 0 1 2 3 7 10 12 14 18 22 23 26 28 30 35 41 44 50 69 152 154 151 149 165 175 166 171 211 215 257 231 251 283 297 331 342 369 379 436 450 496 542 582 651 705 811 961 991 1034 1116 1226 1391 1552 1666 1734 1772 1820 1849 1869 1939 1974 2014 2037 2027 2064 2121 2198 2236 2267 2324 2388 2463 2547
 0 0 0 0 1 3 6 12 18 21 25 33 40 43 42 48 55 60 69 76 89 122 183 277 423 606 790 889 951 866 998 1073 1120 1055 1068 1109 1157 1195 1268 1359 1466 1547 1599 1741 1933 2165 2456 2668 2869 3444 3579 3804 4144 4687 5402 6243 7213 7998 8638 9393 10037 10677 11491 12308 13084 13939 14343 14771 15569 16539 17486 18554 20105 21400 22465 23431
 655 642 623 608 592 558 524 586 708 791 857 1058 1267 1336 1332 1432 1553 1558 1616 1695 1832 2159 2498 2437 1947 2687 2524 2912 2393 2813 3100 2689 2878 3088 3455 3479 3617 4204 4890 5177 6186 7076 7360 8218 9090 9656 10609 11414 12567 14555 15129 16251 17964 20344 22741 25467 27711 29109 30294 32035 33771 35943 39846 41707 43637 45969 48135 51364 55394 58983 61917 65403 69455 75030 80865 86094
 49 57 63 70 76 84 88 109 178 244 321 370 385 404 411 454 572 680 707 660 631 691 813 930 854 950 1054 1119 1003 1046 1190 1276 1405 1519 1502 1605 1697 1905 2087 2218 2446 2770 3063 3375 3806 4446 4819 5264 6168 8297 8218 8252 8539 9088 10647 12919 15166 15905 15365 15253 15881 16938 17783 17840 18128 18562 18520 18447 18672 19597 20539 21161 21764 21924 22730 23704
 1582 1619 1665 1720 1771 1777 1687 1634 2065 2505 3194 3995 4621 5017 5347 5865 6155 6454 7174 7541 8932 11323 12895 14686 15064 14747 16043 17215 17656 17774 18912 20956 22123 22692 23046 24044 25356 26753 28185 29838 31831 34142 36542 39230 42571 45973 50386 54282 58788 69300 79914 85365 91478 99084 110434 123695 136461 144405 146309 149599 152611 154916 157615 163277 171340 176983 181951 184521 189396 195907 206762 218164 226456 227403 233757 241087
 14 16 19 29 41 47 51 63 77 90 87 108 161 200 203 207 204 220 272 248 389 420 358 342 626 329 78 310 213 417 515 207 206 309 417 427 448 713 895 727 909 1022 1108 1279 1439 1611 1827 2048 2408 3163 3356 3430 3648 4086 4490 5397 6177 6527 6506 6642 7091 8065 9169 9626 10456 11466 12652 13662 15687 18244 21021 23556 25827 27980 31036 34102
                                                                                  
